sample,gene_a,gene_b,gene_c,comments,operator_note
S001,8,9.10,7.30,,NA
S002,8.35,9.45,7.65,,NA
S003,NA,9.80,8.00,,NA
S004,9.05,10.15,8.35,,NA
S005,9.4,10.50,8.70,,NA
S006,8,n.d.,7.30,,NA
S007,8.35,9.45,7.65,,NA
s008,8.7,9.80,8.00,,NA
S009,9.05,10.15,8.35,,NA
S010,9.4,10.50,8.70,,NA
S011,8,9.10,7.30,,NA
S012,8.35,9.45,"9,42",,NA
S013,8.7,9.80,8.00,,NA
S014,9.05,10.15,8.35,,NA
S015,8.75,10.50,8.70,,NA
S016,8,9.10,7.30,,NA
S017,8.35,9.45,7.65,,NA
S018,8.7,9.80,8.00,repeat?,NA
S019,9.05,10.15,8.35,,NA
S020,9.4,10.50,8.70,,NA
S031,8,9.10,7.30,,NA
S010,10.91,10.12,8.88,rerun,NA
S015,8.30,9.30,7.65,NA,
S-016,8.58,9.58,7.93,NA,
S017,8.86,9.86,8.21,NA,
S018,9.14,10.14,8.49,NA,
S019,NA,10.42,8.77,NA,
S020,9.70,10.70,9.05,NA,
S021,8.30,9.30,7.65,NA,
S022,8.58,missing,7.93,NA,
S023,8.86,9.86,8.21,NA,
S024,9.14,10.14,NA,NA,
S025,9.42,10.42,8.77,NA,
S026,9.70,10.70,9.05,NA,
S027,8.6 approx,9.30,7.65,NA,
S028,8.58,9.58,7.93,NA,low signal
S029,8.86,9.86,8.21,NA,
S030,9.14,10.14,8.49,NA,
X030,9.42,10.42,8.77,NA,
S032,9.70,10.70,9.05,NA,
