sample,Gene A,gene-b,GeneC ,Comments
S001,8.00,9.10,7.30,
S002,8.35,9.45,7.65,
S003,,9.80,8.00,
S004,9.05,10.15,8.35,
S005,9.40,10.50,8.70,
S006,8.00,n.d.,7.30,
S007,8.35,9.45,7.65,
s008,8.70,9.80,8.00,
S009,9.05,10.15,8.35,
S010,9.40,10.50,8.70,
S011,8.00,9.10,7.30,
S012,8.35,9.45,"9,42",
S013,8.70,9.80,8.00,
S014,9.05,10.15,8.35,
S015, 8.75 ,10.50,8.70,
S016,8.00,9.10,7.30,
S017,8.35,9.45,7.65,
S018,8.70,9.80,8.00,repeat?
S019,9.05,10.15,8.35,
S020,9.40,10.50,8.70,
S031,8.00,9.10,7.30,
S010,10.91,10.12,8.88,rerun
